id,code,title,parent1,parent2,status,naturegroup,balancetype,detailable,type,naturecontrol,exchangeable,followup,currency
1,1,دارایی‌های غیر جاری,,,enable,balance sheet,,,group,,,,
2,2,دارایی‌های جاری,,,enable,balance sheet,,,group,,,,
3,3,حقوق مالکانه,,,enable,balance sheet,,,group,,,,
4,4,بدهی‌های غیر جاری,,,enable,balance sheet,,,group,,,,
5,5,بدهی‌های جاری,,,enable,balance sheet,,,group,,,,
6,6,درآمدها,,,enable,harmful profit,,,group,,,,
7,7,هزینه‌ها,,,enable,harmful profit,,,group,,,,
8,8,بهای تمام شده,,,enable,harmful profit,,,group,,,,
9,9,حساب‌های انتظامی,,,enable,harmful profit,,,group,,,,
10,11,دارایی‌های ثابت مشهود,1,,enable,balance sheet,debtor,,total,,,,
11,12,سرمایه‌گذاری در املاک,1,,enable,balance sheet,debtor,,total,,,,
12,13,دارایی‌های نامشهود,1,,enable,balance sheet,debtor,,total,,,,
13,14,سرمایه‌گذاریهای بلند مدت,1,,enable,balance sheet,debtor,,total,,,,
14,15,دریافتنی‌های بلند مدت,1,,enable,balance sheet,debtor,,total,,,,
15,16,سایر دارایی‌ها,1,,enable,balance sheet,debtor,,total,,,,
16,19,تراز افتتاحیه و اختتامیه,,,enable,balance sheet,debtor-creditor,,total,,,,
17,21,سفارشات و پیش پرداخت‌ها,2,,enable,balance sheet,debtor,,total,,,,
18,22,موجودی مواد و کالا,2,,enable,balance sheet,debtor,,total,,,,
19,23,دریافتنی‌های تجاری,2,,enable,balance sheet,debtor,,total,,,,
20,24,سایر دریافتنی‌ها,2,,enable,balance sheet,debtor,,total,,,,
21,25,سرمایه‌گذاری کوتاه مدت,2,,enable,balance sheet,debtor,,total,,,,
22,26,موجودی نقد,2,,enable,balance sheet,debtor,,total,,,,
23,27,دارایی‌های غیر تجاری نگهداری‌شده برای فروش,2,,enable,balance sheet,debtor,,total,,,,
24,30,سرمایه,3,,enable,balance sheet,creditor,,total,,,,
25,31,افزایش سرمایه در جریان,3,,enable,balance sheet,creditor,,total,,,,
26,32,صرف سهام و صرف سهام خزانه,3,,enable,balance sheet,creditor,,total,,,,
27,33,اندوخته قانونی,3,,enable,balance sheet,creditor,,total,,,,
28,34,سایر اندوخته ها,3,,enable,balance sheet,creditor,,total,,,,
29,35,مازاد تجدید ارزیابی دارایی‌ها,3,,enable,balance sheet,creditor,,total,,,,
30,36,تفاوت تسعیر ارز عملیات خارجی,3,,enable,balance sheet,creditor,,total,,,,
31,37,سود و زیان انباشته,3,,enable,balance sheet,creditor,,total,,,,
32,38,عملکرد سود و زیان,3,,enable,balance sheet,creditor,,total,,,,
33,39,سهام خزانه,3,,enable,balance sheet,creditor,,total,,,,
