"domain","type","1 year","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years"
".*.name","domaintransfer","7.99"
".*.name","domainregister","7.99","13.9","20.85","27.81","33.56","40.27","46.98","53.69","60.4","63.92"
".*.name","domainrenew","7.99","13.9","20.85","27.81","33.56","40.27","46.98","53.69","60.4","63.92"
".aaa.pro","domaintransfer","189.0"
".aaa.pro","domainregister","189.0","378.0","567.0","756.0","945.0","1134.0","1323.0","1512.0","1701.0","1890.0"
".aaa.pro","domainrenew","189.0","378.0","567.0","756.0","945.0","1134.0","1323.0","1512.0","1701.0","1890.0"
".ac.vn","domainregister","37.99","75.98","113.97","151.96","189.95","227.94","265.93","303.92","341.91","379.9"
".ac.vn","domainrenew","37.99","75.98","113.97","151.96","189.95","227.94","265.93","303.92","341.91","379.9"
".aca.pro","domaintransfer","189.0"
".aca.pro","domainregister","189.0","378.0","567.0","756.0","945.0","1134.0","1323.0","1512.0","1701.0","1890.0"
".aca.pro","domainrenew","189.0","378.0","567.0","756.0","945.0","1134.0","1323.0","1512.0","1701.0","1890.0"
".academy","domainregister","19.99","43.58","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".academy","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".academy","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".accountant","domaintransfer","12.99"
".accountant","domainregister","12.99","25.98","38.97","51.96","64.95","77.94","90.93","103.92","116.91","129.9"
".accountant","domainrenew","12.99","25.98","38.97","51.96","64.95","77.94","90.93","103.92","116.91","129.9"
".accountants","domainregister","29.99","103.88","236.67","315.56","394.45","473.34","552.23","631.12","710.01","788.9"
".accountants","domainrenew","78.89","157.78","236.67","315.56","394.45","473.34","552.23","631.12","710.01","788.9"
".accountants","domaintransfer","78.89","157.78","236.67","315.56","394.45","473.34","552.23","631.12","710.01","788.9"
".acct.pro","domaintransfer","189.0"
".acct.pro","domainregister","189.0","378.0","567.0","756.0","945.0","1134.0","1323.0","1512.0","1701.0","1890.0"
".acct.pro","domainrenew","189.0","378.0","567.0","756.0","945.0","1134.0","1323.0","1512.0","1701.0","1890.0"
".adult","domaintransfer","91.0"
".adult","domainregister","91.0","182.0","273.0","364.0","455.0","546.0","637.0","728.0","819.0","910.0"
".adult","domainrenew","91.0","182.0","273.0","364.0","455.0","546.0","637.0","728.0","819.0","910.0"
".ag","domainregister","88.99","177.98","266.97","355.96","444.95","533.94","622.93","711.92","800.91","889.9"
".ag","domainrenew","88.99","177.98","266.97","355.96","444.95","533.94","622.93","711.92","800.91","889.9"
".ag","domaintransfer","88.99","177.98","266.97","355.96","444.95","533.94","622.93","711.92","800.91","889.9"
".agency","domainregister","5.99","21.58","37.17","52.76","68.35","93.54","109.13","124.72","140.31","155.9"
".agency","domainrenew","15.59","31.18","46.77","62.36","77.95","93.54","109.13","124.72","140.31","155.9"
".agency","domaintransfer","15.59","31.18","46.77","62.36","77.95","93.54","109.13","124.72","140.31","155.9"
".apartments","domainregister","38.89","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".apartments","domainrenew","38.89","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".apartments","domaintransfer","38.89","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".app","domaintransfer","14.99"
".app","domainregister","14.99","29.98","44.97","59.96","74.95","89.94","104.93","119.92","134.91","149.9"
".app","domainrenew","14.99","29.98","44.97","59.96","74.95","89.94","104.93","119.92","134.91","149.9"
".art","domaintransfer","10.99"
".art","domainregister","4.99","15.98","32.97","43.96","54.95","65.94","76.93","87.92","98.91","109.9"
".art","domainrenew","10.99","21.98","32.97","43.96","54.95","65.94","76.93","87.92","98.91","109.9"
".asia","domaintransfer","12.99"
".asia","domainregister","12.99","25.98","38.97","51.96","64.95","77.94","90.93","103.92","116.91","129.9"
".asia","domainrenew","12.99","25.98","38.97","51.96","64.95","77.94","90.93","103.92","116.91","129.9"
".associates","domainregister","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".associates","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".associates","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".audio","domainregister","120.99","241.98","362.97","483.96","604.95","725.94","846.93","967.92","1088.91","1209.9"
".audio","domainrenew","120.99","241.98","362.97","483.96","604.95","725.94","846.93","967.92","1088.91","1209.9"
".audio","domaintransfer","120.99","25.98","38.97","51.96","64.95","77.94","90.93","103.92","116.91","129.9"
".auto","domaintransfer","2399.0"
".auto","domainregister","2399.0","4798.0","7197.0","9596.0","11995.0","14394.0","16793.0","19192.0","21591.0","23990.0"
".auto","domainrenew","2399.0","4798.0","7197.0","9596.0","11995.0","14394.0","16793.0","19192.0","21591.0","23990.0"
".avocat.pro","domaintransfer","189.0"
".avocat.pro","domainregister","189.0","378.0","567.0","756.0","945.0","1134.0","1323.0","1512.0","1701.0","1890.0"
".avocat.pro","domainrenew","189.0","378.0","567.0","756.0","945.0","1134.0","1323.0","1512.0","1701.0","1890.0"
".bar","domainregister","61.0","122.0","183.0","244.0","305.0","366.0","427.0","488.0","549.0","610.0"
".bar","domainrenew","61.0","122.0","183.0","244.0","305.0","366.0","427.0","488.0","549.0","610.0"
".bar","domaintransfer","61.0","122.0","183.0","244.0","305.0","366.0","427.0","488.0","549.0","610.0"
".bar.pro","domaintransfer","189.0"
".bar.pro","domainregister","189.0","378.0","567.0","756.0","945.0","1134.0","1323.0","1512.0","1701.0","1890.0"
".bar.pro","domainrenew","189.0","378.0","567.0","756.0","945.0","1134.0","1323.0","1512.0","1701.0","1890.0"
".bargains","domainregister","14.99","29.98","44.97","59.96","74.95","89.94","104.93","119.92","134.91","149.9"
".bargains","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".bargains","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".bayern","domaintransfer","34.59"
".bayern","domainregister","34.59","69.18","103.77","138.36","172.95","207.54","242.13","276.72","311.31","345.9"
".bayern","domainrenew","34.59","69.18","103.77","138.36","172.95","207.54","242.13","276.72","311.31","345.9"
".beer","domaintransfer","23.99"
".beer","domainregister","23.99","47.98","71.97","95.96","119.95","143.94","167.93","191.92","215.91","239.9"
".beer","domainrenew","23.99","47.98","71.97","95.96","119.95","143.94","167.93","191.92","215.91","239.9"
".bet","domaintransfer","41.68"
".bet","domainregister","21.68","43.36","65.04","86.72","108.4","130.08","151.76","173.44","195.12","216.8"
".bet","domainrenew","41.68","83.36","125.04","166.72","208.4","250.08","291.76","333.44","375.12","416.8"
".bid","domaintransfer","5.99"
".bid","domainregister","4.99","9.98","14.97","19.96","24.95","29.94","34.93","39.92","44.91","49.9"
".bid","domainrenew","5.99","11.98","17.97","23.96","29.95","35.94","41.93","47.92","53.91","59.9"
".bike","domainregister","14.99","38.58","57.17","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".bike","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".bike","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".bingo","domainregister","38.89","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".bingo","domainrenew","38.89","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".bingo","domaintransfer","38.89","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".biz","domaintransfer","13.53"
".biz","domainregister","13.53","27.06","40.59","54.12","67.65","81.18","94.71","108.24","121.77","135.3"
".biz","domainrenew","13.53","27.06","40.59","54.12","67.65","81.18","94.71","108.24","121.77","135.3"
".black","domaintransfer","65.41"
".black","domainregister","19.99","85.4","150.81","261.64","327.05","392.46","457.87","523.28","588.69","654.1"
".black","domainrenew","65.41","130.82","196.23","261.64","327.05","392.46","457.87","523.28","588.69","654.1"
".blackfriday","domainregister","120.99","241.98","362.97","483.96","604.95","725.94","846.93","967.92","1088.91","1209.9"
".blackfriday","domainrenew","120.99","241.98","362.97","483.96","604.95","725.94","846.93","967.92","1088.91","1209.9"
".blackfriday","domaintransfer","120.99","63.98","95.97","127.96","159.95","191.94","223.93","255.92","287.91","319.9"
".blog","domaintransfer","24.59"
".blog","domainregister","9.99","34.58","59.17","83.76","108.35","147.54","172.13","196.72","221.31","245.9"
".blog","domainrenew","24.59","49.18","73.77","98.36","122.95","147.54","172.13","196.72","221.31","245.9"
".blue","domaintransfer","21.68"
".blue","domainregister","14.99","36.67","58.35","80.03","101.71","123.39","151.76","173.44","195.12","216.8"
".blue","domainrenew","21.68","43.36","65.04","86.72","108.4","130.08","151.76","173.44","195.12","216.8"
".boutique","domainregister","4.99","28.58","52.17","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".boutique","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".boutique","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".builders","domainregister","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".builders","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".builders","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".business","domainregister","15.89","31.78","47.67","63.56","79.45","95.34","111.23","127.12","143.01","158.9"
".business","domainrenew","38.89","77.78","116.67","155.56","194.45","233.34","272.23","311.12","350.01","388.9"
".business","domaintransfer","15.89","31.78","47.67","63.56","79.45","95.34","111.23","127.12","143.01","158.9"
".bz","domainregister","24.99","49.98","74.97","99.96","124.95","149.94","174.93","199.92","224.91","249.9"
".bz","domainrenew","24.99","49.98","74.97","99.96","124.95","149.94","174.93","199.92","224.91","249.9"
".bz","domaintransfer","24.99","49.98","74.97","99.96","124.95","149.94","174.93","199.92","224.91","249.9"
".cab","domainregister","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".cab","domainrenew","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".cab","domaintransfer","23.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".cafe","domainregister","14.99","38.88","59.77","83.66","119.45","143.34","167.23","191.12","215.01","238.9"
".cafe","domainrenew","23.89","47.78","71.67","95.56","119.45","143.34","167.23","191.12","215.01","238.9"
".cafe","domaintransfer","23.89","47.78","71.67","95.56","119.45","143.34","167.23","191.12","215.01","238.9"
".camera","domainregister","41.09","82.18","123.27","164.36","205.45","246.54","287.63","328.72","369.81","410.9"
".camera","domainrenew","41.09","82.18","123.27","164.36","205.45","246.54","287.63","328.72","369.81","410.9"
".camera","domaintransfer","41.09","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".camp","domainregister","41.59","83.18","124.77","166.36","207.95","249.54","291.13","332.72","374.31","415.9"
".camp","domainrenew","41.59","83.18","124.77","166.36","207.95","249.54","291.13","332.72","374.31","415.9"
".camp","domaintransfer","41.59","47.18","70.77","94.36","117.95","141.54","165.13","188.72","212.31","235.9"
".capital","domainregister","16.99","50.58","115.77","154.36","192.95","231.54","270.13","308.72","347.31","385.9"
".capital","domainrenew","41.09","82.18","123.27","164.36","205.45","246.54","287.63","328.72","369.81","410.9"
".capital","domaintransfer","41.09","77.18","115.77","154.36","192.95","231.54","270.13","308.72","347.31","385.9"
".car","domaintransfer","2399.0"
".car","domainregister","2399.0","4798.0","7197.0","9596.0","11995.0","14394.0","16793.0","19192.0","21591.0","23990.0"
