domain,type,1 year,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,10 years
.*.name,domaintransfer,9.99,,,,,,,,,
.*.name,domainregister,9.99,17.38,26.07,34.77,41.96,50.35,58.74,67.13,75.52,79.92
.loan,domainrenew,4.99,9.98,14.97,19.96,24.95,29.94,34.93,39.92,44.91,49.9
.aaa.pro,domaintransfer,199,,,,,,,,,
.aaa.pro,domainregister,199,398,597,796,995,1194,1393,1592,1791,1990
.bid,domainrenew,5.49,10.98,16.47,21.96,27.45,32.94,38.43,43.92,49.41,54.9
.ac.vn,domainregister,40.99,81.98,122.97,163.96,204.95,245.94,286.93,327.92,368.91,409.9
.date,domainrenew,5.49,10.98,16.47,21.96,27.45,32.94,38.43,43.92,49.41,54.9
.aca.pro,domaintransfer,199,,,,,,,,,
.aca.pro,domainregister,199,398,597,796,995,1194,1393,1592,1791,1990
.men,domainrenew,5.49,10.98,16.47,21.96,27.45,32.94,38.43,43.92,49.41,54.9
.academy,domainregister,19.99,45.28,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.party,domainrenew,5.49,10.98,16.47,21.96,27.45,32.94,38.43,43.92,49.41,54.9
.academy,domaintransfer,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.accountant,domaintransfer,25.69,,,,,,,,,
.accountant,domainregister,25.69,51.38,77.07,102.76,128.45,154.14,179.83,205.52,231.21,256.9
.trade,domainrenew,5.49,10.98,16.47,21.96,27.45,32.94,38.43,43.92,49.41,54.9
.accountants,domainregister,29.99,105.98,242.97,323.96,404.95,485.94,566.93,647.92,728.91,809.9
.win,domainrenew,5.49,10.98,16.47,21.96,27.45,32.94,38.43,43.92,49.41,54.9
.accountants,domaintransfer,80.99,161.98,242.97,323.96,404.95,485.94,566.93,647.92,728.91,809.9
.acct.pro,domaintransfer,199,,,,,,,,,
.acct.pro,domainregister,199,398,597,796,995,1194,1393,1592,1791,1990
.co.in,domainrenew,7.99,15.98,23.97,31.96,39.95,47.94,55.93,63.92,71.91,79.9
.adult,domaintransfer,100,,,,,,,,,
.adult,domainregister,100,200,300,400,500,600,700,800,900,1000
.firm.in,domainrenew,7.99,15.98,23.97,31.96,39.95,47.94,55.93,63.92,71.91,79.9
.ag,domainregister,91.99,183.98,275.97,367.96,459.95,551.94,643.93,735.92,827.91,919.9
.gen.in,domainrenew,7.99,15.98,23.97,31.96,39.95,47.94,55.93,63.92,71.91,79.9
.ag,domaintransfer,91.99,183.98,275.97,367.96,459.95,551.94,643.93,735.92,827.91,919.9
.agency,domainregister,7.49,24.78,42.07,59.36,76.65,103.74,121.03,138.32,155.61,172.9
.ind.in,domainrenew,7.99,15.98,23.97,31.96,39.95,47.94,55.93,63.92,71.91,79.9
.agency,domaintransfer,17.29,34.58,51.87,69.16,86.45,103.74,121.03,138.32,155.61,172.9
.apartments,domainregister,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.net.in,domainrenew,7.99,15.98,23.97,31.96,39.95,47.94,55.93,63.92,71.91,79.9
.apartments,domaintransfer,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.app,domaintransfer,16.99,,,,,,,,,
.app,domainregister,16.99,33.98,50.97,67.96,84.95,101.94,118.93,135.92,152.91,169.9
.org.in,domainrenew,7.99,15.98,23.97,31.96,39.95,47.94,55.93,63.92,71.91,79.9
.art,domaintransfer,12.99,,,,,,,,,
.art,domainregister,12.99,25.98,38.97,51.96,64.95,77.94,90.93,103.92,116.91,129.9
.work,domainrenew,7.99,15.98,23.97,31.96,39.95,47.94,55.93,63.92,71.91,79.9
.asia,domaintransfer,16.99,,,,,,,,,
.asia,domainregister,16.99,33.98,50.97,67.96,84.95,101.94,118.93,135.92,152.91,169.9
.*.name,domainrenew,9.99,17.38,26.07,34.77,41.96,50.35,58.74,67.13,75.52,79.92
.associates,domainregister,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.faith,domainrenew,8.49,16.98,25.47,33.96,42.45,50.94,59.43,67.92,76.41,84.9
.associates,domaintransfer,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.audio,domainregister,123.99,247.98,371.97,495.96,619.95,743.94,867.93,991.92,1115.91,1239.9
.review,domainrenew,8.49,16.98,25.47,33.96,42.45,50.94,59.43,67.92,76.41,84.9
.audio,domaintransfer,123.99,29.98,44.97,59.96,74.95,89.94,104.93,119.92,134.91,149.9
.auto,domaintransfer,2399,,,,,,,,,
.auto,domainregister,2399,4798,7197,9596,11995,14394,16793,19192,21591,23990
.science,domainrenew,8.49,16.98,25.47,33.96,42.45,50.94,59.43,67.92,76.41,84.9
.avocat.pro,domaintransfer,199,,,,,,,,,
.avocat.pro,domainregister,199,398,597,796,995,1194,1393,1592,1791,1990
.webcam,domainrenew,8.49,16.98,25.47,33.96,42.45,50.94,59.43,67.92,76.41,84.9
.bar,domainregister,65,130,195,260,325,390,455,520,585,650
.co.uk,domainrenew,11.59,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.bar,domaintransfer,65,130,195,260,325,390,455,520,585,650
.bar.pro,domaintransfer,199,,,,,,,,,
.bar.pro,domainregister,199,398,597,796,995,1194,1393,1592,1791,1990
.ltd.uk,domainrenew,11.59,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.bargains,domainregister,14.99,29.98,44.97,59.96,74.95,89.94,104.93,119.92,134.91,149.9
.me.uk,domainrenew,11.59,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.bargains,domaintransfer,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.bayern,domaintransfer,36.99,,,,,,,,,
.bayern,domainregister,36.99,73.98,110.97,147.96,184.95,221.94,258.93,295.92,332.91,369.9
.net.uk,domainrenew,11.59,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.beer,domaintransfer,25.99,,,,,,,,,
.beer,domainregister,25.99,51.98,77.97,103.96,129.95,155.94,181.93,207.92,233.91,259.9
.org.uk,domainrenew,11.59,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.bet,domaintransfer,23.38,,,,,,,,,
.bet,domainregister,23.38,46.76,70.14,93.52,116.9,140.28,163.66,187.04,210.42,233.8
.pictures,domainrenew,8.99,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.bid,domaintransfer,5.49,,,,,,,,,
.bid,domainregister,5.49,10.98,16.47,21.96,27.45,32.94,38.43,43.92,49.41,54.9
.plc.uk,domainrenew,11.59,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.bike,domainregister,14.99,40.08,60.57,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.uk,domainrenew,11.59,17.98,26.97,35.96,44.95,53.94,62.93,71.92,80.91,89.9
.bike,domaintransfer,25.29,50.58,75.87,101.16,126.45,151.74,177.03,202.32,227.61,252.9
.bingo,domainregister,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.com,domainrenew,9.89,19.78,29.67,39.56,49.45,59.34,69.23,79.12,89.01,98.9
.bingo,domaintransfer,40.59,81.18,121.77,162.36,202.95,243.54,284.13,324.72,365.31,405.9
.biz,domaintransfer,14.43,,,,,,,,,
.biz,domainregister,14.43,28.86,43.29,57.72,72.15,86.58,101.01,115.44,129.87,144.3
.one,domainrenew,9.89,19.78,29.67,39.56,49.45,59.34,69.23,79.12,89.01,98.9
.black,domaintransfer,69.41,,,,,,,,,
.black,domainregister,10.99,80.4,112.77,150.36,187.95,225.54,258.93,295.92,332.91,369.9
.click,domainrenew,9.99,16.98,29.97,39.96,49.95,59.94,69.93,79.92,89.91,99.9
.blackfriday,domainregister,123.99,247.98,371.97,495.96,619.95,743.94,867.93,991.92,1115.91,1239.9
